release date,title,production budget,domestic budget,worldwide gross,domestic gross,negative,positive
4-Jan-13,Texas Chainsaw 3D,"$20,000,000","$34,341,945","$47,666,013",$0,35,11
4-Jan-13,Promised Land,"$15,000,000","$7,597,898","$12,394,562","$7,597,898",34,19
9-Jan-13,Gangster Squad,"$60,000,000","$46,000,903","$104,100,903","$46,000,903",44,27
11-Jan-13,A Haunted House,"$2,500,000","$40,041,683","$59,922,558","$40,041,683",17,16
17-Jan-13,The Last Stand,"$30,000,000","$12,050,299","$48,330,757","$12,050,299",66,49
17-Jan-13,Mama,"$15,000,000","$71,628,180","$148,095,566","$71,628,180",16,13
18-Jan-13,Broken City,"$35,000,000","$19,701,164","$37,114,977","$19,701,164",46,28
24-Jan-13,Parker,"$35,000,000","$17,616,641","$48,543,388","$17,616,641",49,50
25-Jan-13,Supporting Characters,"$60,000","$4,917","$4,917","$4,917",12,11
31-Jan-13,Bullet to the Head,"$55,000,000","$9,489,829","$22,597,969","$9,489,829",55,49
31-Jan-13,Warm Bodies,"$30,000,000","$66,380,662","$114,834,312","$66,380,662",1,1
1-Feb-13,Antiviral,"$3,100,000",$0,"$123,407",$0,6,6
1-Feb-13,The Gatekeepers,"$1,500,000","$2,408,553","$2,592,308","$2,415,727",24,9
6-Feb-13,A Good Day to Die Hard,"$92,000,000","$67,349,198","$304,249,198","$67,349,198",3,4
7-Feb-13,Identity Thief,"$35,000,000","$134,506,920","$175,361,578","$134,506,920",4,11
8-Feb-13,Side Effects,"$30,000,000","$32,172,757","$66,742,138","$32,172,757",11,12
8-Feb-13,ABCD (Any Body Can Dance),"$1,900,000","$222,098","$10,137,234","$222,098",11,9
13-Feb-13,Safe Haven,"$28,000,000","$71,399,120","$94,050,951","$71,349,120",1,2
14-Feb-13,Beautiful Creatures,"$50,000,000","$19,452,138","$60,282,876","$19,452,138",17,18
15-Feb-13,Escape From Planet Earth,"$40,000,000","$57,012,977","$74,156,610",$0,32,30
21-Feb-13,Snitch,"$15,000,000","$42,930,462","$57,907,734","$42,930,462",8,13
21-Feb-13,Dark Skies,"$3,500,000","$17,418,667","$27,704,111","$17,418,667",6,2
22-Feb-13,Inescapable,"$4,000,000","$4,327","$4,327","$6,334",24,26
27-Feb-13,Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603","$65,187,603",7,13
28-Feb-13,Stoker,"$12,000,000","$1,703,125","$12,034,913","$1,714,221",7,3
1-Mar-13,Phantom,"$18,000,000","$1,034,589","$1,199,510","$1,034,589",9,10
1-Mar-13,The Last Exorcism Part II,"$4,000,000","$15,179,303","$25,448,707","$15,179,302",49,21
1-Mar-13,The Lost Medallion: The Adventures of Billy Stone,"$2,500,000","$549,632","$549,632","$549,632",4,5
6-Mar-13,Spring Breakers,"$5,000,000","$14,124,286","$31,149,251","$14,124,284",7,2
7-Mar-13,Dead Man Down,"$30,000,000","$10,895,295","$19,599,974","$10,895,295",31,33
7-Mar-13,Along the Roadside,"$250,000",$0,"$3,234","$1,352",21,16
8-Mar-13,Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051","$234,911,825",2,0
14-Mar-13,The Incredible Burt Wonderstone,"$32,000,000","$22,537,881","$27,392,609","$22,537,881",28,39
